Year,Collection Per Capita,Library
2010,1.55716,COLTON PUBLIC LIBRARY
2011,1.51463,COLTON PUBLIC LIBRARY
2012,1.36379,COLTON PUBLIC LIBRARY
2013,1.38093,COLTON PUBLIC LIBRARY
2014,1.51705,COLTON PUBLIC LIBRARY
2015,1.52314,COLTON PUBLIC LIBRARY
2016,1.53138,COLTON PUBLIC LIBRARY
2017,1.50566,COLTON PUBLIC LIBRARY
2018,1.5489,COLTON PUBLIC LIBRARY
2019,1.51881,COLTON PUBLIC LIBRARY
2010,4.91423,COLUSA COUNTY FREE LIBRARY
2011,4.76879,COLUSA COUNTY FREE LIBRARY
2012,4.93757,COLUSA COUNTY FREE LIBRARY
2013,5.07516,COLUSA COUNTY FREE LIBRARY
2014,4.96758,COLUSA COUNTY FREE LIBRARY
2015,4.72886,COLUSA COUNTY FREE LIBRARY
2016,7.34337,COLUSA COUNTY FREE LIBRARY
2017,8.08616,COLUSA COUNTY FREE LIBRARY
2018,8.57426,COLUSA COUNTY FREE LIBRARY
2019,28.64533,COLUSA COUNTY FREE LIBRARY
2010,1.69742,CONTRA COSTA COUNTY LIBRARY
2011,1.71922,CONTRA COSTA COUNTY LIBRARY
2012,1.70819,CONTRA COSTA COUNTY LIBRARY
2013,1.59048,CONTRA COSTA COUNTY LIBRARY
2014,1.66225,CONTRA COSTA COUNTY LIBRARY
2015,1.53051,CONTRA COSTA COUNTY LIBRARY
2016,1.50278,CONTRA COSTA COUNTY LIBRARY
2017,1.56658,CONTRA COSTA COUNTY LIBRARY
2018,1.2362,CONTRA COSTA COUNTY LIBRARY
2019,1.20848,CONTRA COSTA COUNTY LIBRARY
2010,0.95755,CORONA PUBLIC LIBRARY
2011,0.97488,CORONA PUBLIC LIBRARY
2012,0.71972,CORONA PUBLIC LIBRARY
2013,0.78008,CORONA PUBLIC LIBRARY
2014,1.01015,CORONA PUBLIC LIBRARY
2015,0.92664,CORONA PUBLIC LIBRARY
2016,1.03945,CORONA PUBLIC LIBRARY
2017,0.9714,CORONA PUBLIC LIBRARY
2018,0.9839,CORONA PUBLIC LIBRARY
2019,1.104,CORONA PUBLIC LIBRARY
2010,8.06688,CORONADO PUBLIC LIBRARY
2011,8.39777,CORONADO PUBLIC LIBRARY
2012,8.50246,CORONADO PUBLIC LIBRARY
2013,8.52073,CORONADO PUBLIC LIBRARY
2014,8.7089,CORONADO PUBLIC LIBRARY
2015,8.1126,CORONADO PUBLIC LIBRARY
2016,8.35831,CORONADO PUBLIC LIBRARY
2017,9.26823,CORONADO PUBLIC LIBRARY
2018,8.37278,CORONADO PUBLIC LIBRARY
2019,8.07142,CORONADO PUBLIC LIBRARY
2010,1.97087,COVINA PUBLIC LIBRARY
2011,2.07055,COVINA PUBLIC LIBRARY
2012,1.9002,COVINA PUBLIC LIBRARY
2013,1.97522,COVINA PUBLIC LIBRARY
2014,1.95992,COVINA PUBLIC LIBRARY
2015,1.98371,COVINA PUBLIC LIBRARY
2016,2.04589,COVINA PUBLIC LIBRARY
2017,2.52751,COVINA PUBLIC LIBRARY
2018,2.51201,COVINA PUBLIC LIBRARY
2019,2.5486,COVINA PUBLIC LIBRARY
2010,6.28601,CROWELL PUBLIC LIBRARY
2011,7.07116,CROWELL PUBLIC LIBRARY
2012,7.11762,CROWELL PUBLIC LIBRARY
2013,7.58009,CROWELL PUBLIC LIBRARY
2014,7.4994,CROWELL PUBLIC LIBRARY
2015,7.51821,CROWELL PUBLIC LIBRARY
2016,7.45571,CROWELL PUBLIC LIBRARY
2017,7.27426,CROWELL PUBLIC LIBRARY
2018,6.08658,CROWELL PUBLIC LIBRARY
2019,7.41988,CROWELL PUBLIC LIBRARY
2010,2.2433,DALY CITY PUBLIC LIBRARY
2011,2.13803,DALY CITY PUBLIC LIBRARY
2012,2.1319,DALY CITY PUBLIC LIBRARY
2013,2.48432,DALY CITY PUBLIC LIBRARY
2014,2.48717,DALY CITY PUBLIC LIBRARY
2015,2.58724,DALY CITY PUBLIC LIBRARY
2016,2.64511,DALY CITY PUBLIC LIBRARY
2017,2.73898,DALY CITY PUBLIC LIBRARY
2018,2.50747,DALY CITY PUBLIC LIBRARY
2019,3.71158,DALY CITY PUBLIC LIBRARY
2010,2.04015,DEL NORTE COUNTY LIBRARY DISTRICT
2011,2.19825,DEL NORTE COUNTY LIBRARY DISTRICT
2012,-0.00014,DEL NORTE COUNTY LIBRARY DISTRICT
2013,2.1135,DEL NORTE COUNTY LIBRARY DISTRICT
2014,,DEL NORTE COUNTY LIBRARY DISTRICT
2015,,DEL NORTE COUNTY LIBRARY DISTRICT
2016,1.93438,DEL NORTE COUNTY LIBRARY DISTRICT
2017,2.0223,DEL NORTE COUNTY LIBRARY DISTRICT
2018,2.15711,DEL NORTE COUNTY LIBRARY DISTRICT
2019,2.30493,DEL NORTE COUNTY LIBRARY DISTRICT
2010,2.18941,DIXON PUBLIC LIBRARY DISTRICT
2011,2.78483,DIXON PUBLIC LIBRARY DISTRICT
2012,2.18904,DIXON PUBLIC LIBRARY DISTRICT
2013,2.15521,DIXON PUBLIC LIBRARY DISTRICT
2014,2.14234,DIXON PUBLIC LIBRARY DISTRICT
2015,2.00537,DIXON PUBLIC LIBRARY DISTRICT
2016,2.05202,DIXON PUBLIC LIBRARY DISTRICT
2017,2.12528,DIXON PUBLIC LIBRARY DISTRICT
2018,2.59933,DIXON PUBLIC LIBRARY DISTRICT
2019,0.00017,DIXON PUBLIC LIBRARY DISTRICT
2010,1.21337,DOWNEY CITY LIBRARY
2011,1.18868,DOWNEY CITY LIBRARY
2012,1.16545,DOWNEY CITY LIBRARY
2013,1.23881,DOWNEY CITY LIBRARY
2014,1.17905,DOWNEY CITY LIBRARY
2015,1.24346,DOWNEY CITY LIBRARY
2016,1.24717,DOWNEY CITY LIBRARY
2017,0.98399,DOWNEY CITY LIBRARY
2018,0.86621,DOWNEY CITY LIBRARY
2019,0.64938,DOWNEY CITY LIBRARY
2010,3.12298,EL CENTRO PUBLIC LIBRARY
2011,,EL CENTRO PUBLIC LIBRARY
2012,3.03813,EL CENTRO PUBLIC LIBRARY
2013,2.38196,EL CENTRO PUBLIC LIBRARY
2014,2.44311,EL CENTRO PUBLIC LIBRARY
2015,2.37447,EL CENTRO PUBLIC LIBRARY
2016,2.27413,EL CENTRO PUBLIC LIBRARY
2017,2.16466,EL CENTRO PUBLIC LIBRARY
2018,2.24695,EL CENTRO PUBLIC LIBRARY
2019,1.87472,EL CENTRO PUBLIC LIBRARY
2010,2.06359,EL DORADO COUNTY LIBRARY
2011,2.10582,EL DORADO COUNTY LIBRARY
2012,2.06135,EL DORADO COUNTY LIBRARY
2013,2.09372,EL DORADO COUNTY LIBRARY
2014,2.30737,EL DORADO COUNTY LIBRARY
2015,2.34807,EL DORADO COUNTY LIBRARY
2016,2.36963,EL DORADO COUNTY LIBRARY
2017,2.4729,EL DORADO COUNTY LIBRARY
2018,2.44133,EL DORADO COUNTY LIBRARY
2019,2.41361,EL DORADO COUNTY LIBRARY
2010,10.00407,EL SEGUNDO PUBLIC LIBRARY
2011,10.06531,EL SEGUNDO PUBLIC LIBRARY
2012,10.05677,EL SEGUNDO PUBLIC LIBRARY
2013,6.56554,EL SEGUNDO PUBLIC LIBRARY
2014,6.47571,EL SEGUNDO PUBLIC LIBRARY
2015,10.22516,EL SEGUNDO PUBLIC LIBRARY
2016,9.69355,EL SEGUNDO PUBLIC LIBRARY
2017,9.17952,EL SEGUNDO PUBLIC LIBRARY
2018,9.46701,EL SEGUNDO PUBLIC LIBRARY
2019,9.24885,EL SEGUNDO PUBLIC LIBRARY
2010,1.63737,ESCONDIDO PUBLIC LIBRARY
2011,1.03845,ESCONDIDO PUBLIC LIBRARY
2012,1.03969,ESCONDIDO PUBLIC LIBRARY
2013,1.38673,ESCONDIDO PUBLIC LIBRARY
