Year,Visits Per Capita,Library
2010,4.33712,COALINGA-HURON LIBRARY DISTRICT
2011,5.31672,COALINGA-HURON LIBRARY DISTRICT
2012,2.46029,COALINGA-HURON LIBRARY DISTRICT
2013,3.12928,COALINGA-HURON LIBRARY DISTRICT
2014,2.99055,COALINGA-HURON LIBRARY DISTRICT
2015,2.99704,COALINGA-HURON LIBRARY DISTRICT
2016,2.7685,COALINGA-HURON LIBRARY DISTRICT
2017,2.48904,COALINGA-HURON LIBRARY DISTRICT
2018,1.97737,COALINGA-HURON LIBRARY DISTRICT
2019,1.61413,COALINGA-HURON LIBRARY DISTRICT
2010,1.33537,COLTON PUBLIC LIBRARY
2011,1.41943,COLTON PUBLIC LIBRARY
2012,1.16368,COLTON PUBLIC LIBRARY
2013,1.23345,COLTON PUBLIC LIBRARY
2014,1.24704,COLTON PUBLIC LIBRARY
2015,1.18255,COLTON PUBLIC LIBRARY
2016,1.2232,COLTON PUBLIC LIBRARY
2017,1.00477,COLTON PUBLIC LIBRARY
2018,1.00706,COLTON PUBLIC LIBRARY
2019,0.77941,COLTON PUBLIC LIBRARY
2010,1.98231,COLUSA COUNTY FREE LIBRARY
2011,3.04315,COLUSA COUNTY FREE LIBRARY
2012,1.74287,COLUSA COUNTY FREE LIBRARY
2013,1.64695,COLUSA COUNTY FREE LIBRARY
2014,1.6729,COLUSA COUNTY FREE LIBRARY
2015,1.7069,COLUSA COUNTY FREE LIBRARY
2016,1.6632,COLUSA COUNTY FREE LIBRARY
2017,1.56449,COLUSA COUNTY FREE LIBRARY
2018,1.59556,COLUSA COUNTY FREE LIBRARY
2019,1.28312,COLUSA COUNTY FREE LIBRARY
2010,4.30547,CONTRA COSTA COUNTY LIBRARY
2011,4.12332,CONTRA COSTA COUNTY LIBRARY
2012,4.19833,CONTRA COSTA COUNTY LIBRARY
2013,4.14309,CONTRA COSTA COUNTY LIBRARY
2014,3.78498,CONTRA COSTA COUNTY LIBRARY
2015,3.54528,CONTRA COSTA COUNTY LIBRARY
2016,3.14848,CONTRA COSTA COUNTY LIBRARY
2017,3.08019,CONTRA COSTA COUNTY LIBRARY
2018,3.38705,CONTRA COSTA COUNTY LIBRARY
2019,2.59923,CONTRA COSTA COUNTY LIBRARY
