Year,Circulation Per Capita,Library
2010,2.91128,CALAVERAS COUNTY LIBRARY
2011,2.96414,CALAVERAS COUNTY LIBRARY
2012,,CALAVERAS COUNTY LIBRARY
2013,,CALAVERAS COUNTY LIBRARY
2014,,CALAVERAS COUNTY LIBRARY
2015,2.46999,CALAVERAS COUNTY LIBRARY
2016,2.54417,CALAVERAS COUNTY LIBRARY
2017,3.08043,CALAVERAS COUNTY LIBRARY
2018,2.62934,CALAVERAS COUNTY LIBRARY
2019,1.81854,CALAVERAS COUNTY LIBRARY
2010,1.77977,CAMARENA MEMORIAL PUBLIC LIBRARY
2011,1.13194,CAMARENA MEMORIAL PUBLIC LIBRARY
2012,,CAMARENA MEMORIAL PUBLIC LIBRARY
2013,,CAMARENA MEMORIAL PUBLIC LIBRARY
2014,0.00307,CAMARENA MEMORIAL PUBLIC LIBRARY
2015,1.37542,CAMARENA MEMORIAL PUBLIC LIBRARY
2016,0.97681,CAMARENA MEMORIAL PUBLIC LIBRARY
2017,0.73912,CAMARENA MEMORIAL PUBLIC LIBRARY
2018,0.54574,CAMARENA MEMORIAL PUBLIC LIBRARY
2019,0.42857,CAMARENA MEMORIAL PUBLIC LIBRARY
2010,4.81408,CAMARILLO PUBLIC LIBRARY
2011,11.56268,CAMARILLO PUBLIC LIBRARY
2012,0.54056,CAMARILLO PUBLIC LIBRARY
2013,0.78414,CAMARILLO PUBLIC LIBRARY
2014,0.59087,CAMARILLO PUBLIC LIBRARY
2015,11.07658,CAMARILLO PUBLIC LIBRARY
2016,10.41508,CAMARILLO PUBLIC LIBRARY
2017,10.14287,CAMARILLO PUBLIC LIBRARY
2018,9.74343,CAMARILLO PUBLIC LIBRARY
2019,7.25866,CAMARILLO PUBLIC LIBRARY
2010,12.7887,CARLSBAD CITY LIBRARY
2011,12.5792,CARLSBAD CITY LIBRARY
2012,0.23751,CARLSBAD CITY LIBRARY
2013,0.35371,CARLSBAD CITY LIBRARY
2014,0.51346,CARLSBAD CITY LIBRARY
