Year,Expense Per Capita,Library
2014,47.70395,CAMARILLO PUBLIC LIBRARY
2015,64.8598,CAMARILLO PUBLIC LIBRARY
2016,61.23104,CAMARILLO PUBLIC LIBRARY
2017,40.44935,CAMARILLO PUBLIC LIBRARY
2018,48.18099,CAMARILLO PUBLIC LIBRARY
2019,42.42082,CAMARILLO PUBLIC LIBRARY
2010,91.1047,CARLSBAD CITY LIBRARY
2011,88.94243,CARLSBAD CITY LIBRARY
2012,87.89816,CARLSBAD CITY LIBRARY
2013,88.63422,CARLSBAD CITY LIBRARY
2014,90.22734,CARLSBAD CITY LIBRARY
2015,91.39578,CARLSBAD CITY LIBRARY
2016,107.00932,CARLSBAD CITY LIBRARY
2017,96.24315,CARLSBAD CITY LIBRARY
2018,108.63218,CARLSBAD CITY LIBRARY
2019,103.5124,CARLSBAD CITY LIBRARY
2010,97.84091,CERRITOS PUBLIC LIBRARY
2011,102.16259,CERRITOS PUBLIC LIBRARY
2012,98.12939,CERRITOS PUBLIC LIBRARY
2013,106.58853,CERRITOS PUBLIC LIBRARY
2014,106.10431,CERRITOS PUBLIC LIBRARY
2015,110.97729,CERRITOS PUBLIC LIBRARY
2016,106.64722,CERRITOS PUBLIC LIBRARY
2017,115.36212,CERRITOS PUBLIC LIBRARY
2018,119.44154,CERRITOS PUBLIC LIBRARY
2019,118.52618,CERRITOS PUBLIC LIBRARY
2010,14.52557,CHULA VISTA PUBLIC LIBRARY
2011,11.72115,CHULA VISTA PUBLIC LIBRARY
2012,12.01209,CHULA VISTA PUBLIC LIBRARY
2013,11.99436,CHULA VISTA PUBLIC LIBRARY
2014,12.54343,CHULA VISTA PUBLIC LIBRARY
2015,13.23298,CHULA VISTA PUBLIC LIBRARY
2016,14.07433,CHULA VISTA PUBLIC LIBRARY
2017,13.38044,CHULA VISTA PUBLIC LIBRARY
2018,13.87779,CHULA VISTA PUBLIC LIBRARY
2019,15.05757,CHULA VISTA PUBLIC LIBRARY
2010,219.5096,CITY OF COMMERCE PUBLIC LIBRARY
2011,215.70492,CITY OF COMMERCE PUBLIC LIBRARY
2012,208.84909,CITY OF COMMERCE PUBLIC LIBRARY
2013,238.76782,CITY OF COMMERCE PUBLIC LIBRARY
2014,260.15153,CITY OF COMMERCE PUBLIC LIBRARY
2015,274.93746,CITY OF COMMERCE PUBLIC LIBRARY
2016,288.64712,CITY OF COMMERCE PUBLIC LIBRARY
2017,306.3678,CITY OF COMMERCE PUBLIC LIBRARY
2018,321.049,CITY OF COMMERCE PUBLIC LIBRARY
